jumlah_kartu,outstanding,limit_kredit,tagihan,total_pemakaian_tunai,total_pemakaian_retail,sisa_tagihan_tidak_terbayar,kode_cabang,rasio_pembayaran,persentasi_overlimit,rasio_pembayaran_3bulan,rasio_pembayaran_6bulan,skor_delikuensi,flag_kredit_macet,jumlah_tahun_sejak_pembukaan_kredit,total_pemakaian,sisa_tagihan_per_jumlah_kartu,sisa_tagihan_per_limit,total_pemakaian_per_limit,pemakaian_3bln_per_limit,pemakaian_6bln_per_limit,utilisasi_3bulan,utilisasi_6bulan
2,4973709,5000000,4961724,0,1542550,4920127,J,100,0,100,98.04,0,0,3.666666667,1542550,2460063.5,0.9840254,0.30851,0.5023414,0.554941466,0.97867925,0.964800466
2,4821008,5000000,4822143,0,0,4898977,A,0,0,88.03,98.77,0,0,3.583333333,0,2449488.5,0.9797954,0,0.28,0.1299002,0.65312845,0.1473468
2,101091439,89000000,75619978,0,1029809,98145225,A,0,8.41,25.09,66.67,0,0,7,1029809,49072612.5,1.102755337,0.011570888,0.065478385,0.143519674,1.175830458,1.072658655
2,327205,5000000,171818,0,226000,220896,H,0,0,75.24,100,0,0,3.25,226000,110448,0.0441792,0.0452,0.013915,0.0272,0.03880065,0.164730934
2,3411278,6000000,2512956,0,2371574,0,A,99.73,0,99.77,99.82,0,0,6.75,2371574,0,0,0.395262333,0.458442083,0.228860555,0.50699575,0.450060167
2,111507,5000000,116930,0,0,0,A,100,0,75,66.67,0,0,0.833333333,0,0,0,0,0.10124825,0.05,0.0855824,0.066693734
2,268035,28000000,247357,0,0,0,A,0,0,0,70.88,0,0,10.66666667,0,0,0,0,6.98214e-4,0,0.004056616,1.37143e-4
3,9066848,80000000,1583655,0,501640,0,A,103.45,0,100.2,100.03,0,0,1.75,501640,0,0,0.0062705,0.009309656,0.014731658,0.122994925,0.125477554
2,8455504,59000000,2444783,0,5722000,0,A,101.2,0,107.46,100.91,0,0,6.5,5722000,0,0,0.096983051,0.104708699,0.129092169,0.126639932,0.146443294
4,1845697,7000000,1846366,0,7125,1901297,H,10.01,0,7.6,10.45,0,0,12,7125,475324.25,0.271613857,0.001017857,0.018885714,0.020348,0.269335714,0.234366667
3,25205710,30000000,15305099,0,450000,26562496,A,24.07,2.15,24.61,15.96,0,0,3.083333333,450000,8854165.333,0.885416533,0.015,0.0625,0,1.340845267,1.407204333
2,4280389,10000000,2212663,0,2000000,0,A,100,0,100.12,100.48,0,0,4.5,2000000,0,0,0.2,0.24316555,0.101666667,0.1963188,0.200199433
2,22657337,20000000,4773869,0,22198709,22651335,E,9.21,13.18,109.43,133.33,0,0,2.583333333,22198709,11325667.5,1.13256675,1.10993545,0.696059013,0.61040315,0.673379025,0.677199217
2,5963376,7000000,5992516,0,0,0,A,0,0,72.76,64.45,0,0,3.5,0,0,0,0,0.311373679,0.307214904,0.818427821,0.545790857
3,37951360,40000000,21456475,0,11487871,22948029,E,10.32,0,67.77,91.59,0,1,14.83333333,11487871,7649343,0.573700725,0.287196775,0.350320263,0.567534317,0.787152813,0.59771905
3,10253092,8000000,10271226,0,0,10032277,A,14.44,27.76,11.62,66.64,0,0,3.666666667,0,3344092.333,1.254034625,0,0.072069719,0.414978125,1.218362781,1.270721166
4,1486074,8000000,1357500,0,0,1950412,A,45.35,0,50,47.46,0,0,10.66666667,0,487603,0.2438015,0,0.06859375,0.046425,0.22252475,0.281731625
2,3717733,5000000,3724588,0,0,3647207,A,18.24,0,10.38,13.11,0,1,1.25,0,1823603.5,0.7294414,0,0,0.058427666,0.74495595,0.765569666
2,15362171,13000000,15636016,0,52000,15449105,A,0,16.63,4.91,14.06,0,1,10.66666667,52000,7724552.5,1.188392692,0.004,0.006355769,0.017325513,1.078112096,1.046830308
3,4327068,7000000,3311700,0,3228794,4750114,A,100,0,75.56,66.67,0,0,11.83333333,3228794,1583371.333,0.678587714,0.461256286,0.285714286,0.256830476,0.378177143,0.255704333
2,7914612,13000000,6101313,0,1682000,7297467,A,30.3,0,29.83,92.87,0,0,5,1682000,3648733.5,0.561343615,0.129384615,0.111259827,0.260028513,0.596084135,0.227891154
3,3217728,3000000,1808873,900000,525595,820607,F,41.81,7.62,21.89,5.57,0,0,9,1425595,273535.6667,0.273535667,0.475198333,0.1423,0.051766667,0.746075167,0.851159333
2,6683524,7000000,6528071,0,0,6694891,J,10.15,0,25,33.34,0,0,3.916666667,0,3347445.5,0.956413,0,0.189887,0.354238096,0.945037143,0.839269286
2,5922263,6000000,4364666,0,1082509,0,I,99.89,1.26,99.84,99.58,0,0,2.166666667,1082509,0,0,0.180418167,0.435618,1.673095557,0.8202125,0.8302525
4,2179039,20000000,2166774,0,1333540,2653632,A,0,0,75,50.81,0,0,3.416666667,1333540,663408,0.1326816,0.066677,0.02935,0.007836667,0.037730413,0.015649917
4,7821818,7000000,8231678,0,454996,7883797,A,0,11.98,7.5,19.1,0,0,17.25,454996,1970949.25,1.126256714,0.064999429,0.092235714,0.047265904,0.818545143,0.60690781
5,34400963,15000000,30562880,1250000,0,32788863,A,0,0,15.86,12.12,0,0,8,1250000,6557772.6,2.1859242,0.083333333,0.303706667,1.347364333,2.213187333,1.964117245
3,3409834,3000000,3424633,0,0,3342896,F,0,13.62,18.41,20.63,0,1,5.416666667,0,1114298.667,1.114298667,0,0.091508333,0.1329,1.0870568329999999,1.004674557
3,10788784,7000000,8491049,700000,1106768,10142774,A,7.31,54.13,7.23,20.15,0,0,9.75,1806768,3380924.667,1.448967714,0.258109714,0.082365393,0.284368096,1.33822375,1.298549381
2,2984329,8000000,2658410,0,706305,2985347,A,17.27,0,46.21,66.67,0,0,3.333333333,706305,1492673.5,0.373168375,0.088288125,0.075030563,0,0.309743719,0.230551625
2,1783339,3000000,1550000,0,241200,0,K,100.05,0,100,100,0,0,4.5,241200,0,0,0.0804,0.2398825,0.363025667,0.354936667,0.203476223
3,2763327,3000000,3075752,0,0,2763937,A,15.65,0,13.52,14.05,0,0,4.666666667,0,921312.3333,0.921312333,0,0,0,0.970890167,1.08749511
3,17228771,20000000,11778013,0,5693659,16697995,A,58.17,0,84.31,101.19,0,0,8.166666667,5693659,5565998.333,0.83489975,0.28468295,0.334390675,0.392196767,0.624839338,0.381944884
2,2615761,3000000,2631648,0,180000,2647285,E,9.99,0,13.99,100.77,0,0,0.75,180000,1323642.5,0.882428333,0.06,0,0.333333333,0.8891445,1.074573223
3,85136,80000000,80851,0,0,114060,A,0,0,30.33,50,0,1,14.41666667,0,38020,0.00142575,0,0.002049438,9.28033e-4,0.005770709,0.006052479
4,28500813,25000000,13851647,0,0,26958099,F,0,10.68,83,102.43,0,0,10.66666667,0,6739524.75,1.07832396,0,0.23453055,0.157266347,1.03797176,1.052910973
2,67956,80000000,68098,0,0,0,A,0,0,25,100.33,0,0,7.583333333,0,0,0,0,0,0.016785417,7.19259e-4,0.025703721
5,17650302,21000000,12294525,0,4918000,12723213,A,37.25,0,65.38,43.25,0,0,12.58333333,4918000,2544642.6,0.605867286,0.234190476,0.177349429,0.16660727,0.595085083,0.517432873
2,2808150,3000000,2625524,0,-3888,2803331,F,10.93,0,11.21,14.92,0,0,1.833333333,-3888,1401665.5,0.934443667,-0.001296,0.043833333,0.06,0.859280833,0.864368443
4,74746853,66000000,63777396,0,0,75220201,A,0,5.8,4.79,26.05,0,1,8.25,0,18805050.25,1.139700015,0,0.026849564,0.222788293,1.072906288,1.010878616
2,9659895,8000000,9656368,0,0,9656999,A,0,20.23,11.44,40.13,0,0,25.66666667,0,4828499.5,1.207124875,0,0.109375,0.435666666,1.142090344,0.824253959
3,39813102,66000000,39459200,0,0,39294851,I,5.33,0,8.2,6.68,0,1,6.75,0,13098283.67,0.59537653,0,0,0.00520202,0.526414841,0.522944652
5,5972272,6000000,5068230,0,0,5206434,NA,12.19,0,7.84,43.92,0,0,9.916666667,0,1041286.8,0.867739,0,0.05940075,0.041536388,0.919163625,0.919635167
3,60718305,62000000,11808873,0,32659384,37940368,F,0,0,75,135.97,0,0,13.58333333,32659384,12646789.33,0.611941419,0.526764258,0.151751238,0.054797731,0.665394278,0.90949078
2,2519279,3000000,3475516,0,88349,2335668,B,0,0,12.29,18.43,0,0,2.75,88349,1167834,0.778556,0.029449667,0.109822,0.1911,0.99219925,0.973970223
2,3455911,3000000,3454644,0,0,3380076,J,14.13,15.45,13.38,11.96,0,1,5.333333333,0,1690038,1.126692,0,0.079541667,0.069612333,1.1031405,1.110605777
2,2147830,5000000,2078518,0,0,2142710,F,20.98,0,10.1,13.93,0,1,5.916666667,0,1071355,0.428542,0,0,0.070341334,0.6537588,0.630576066
5,45178939,50000000,4469305,0,16860354,0,A,100,0,100,100,0,0,5.75,16860354,0,0,0.33720708,0.269226205,0.073617207,0.62342844,0.380561567
2,1091014,5000000,519616,0,686247,0,F,100,0,62.73,66.67,0,0,5.666666667,686247,0,0,0.1372494,0.09434085,0.164381666,0.1635204,0.1661046
4,4227539,62000000,480667,0,0,0,A,100,0,100,87.56,0,0,7.833333333,0,0,0,0,0.001699274,7.41935e-4,0.074972641,0.097525161
5,8409156,10000000,9253239,0,455900,8434377,A,15.76,0,10.22,21.13,0,0,11.91666667,455900,1686875.4,0.8434377,0.04559,0.0638598,0.0515,0.84020275,0.8629967
3,10474901,41000000,10404990,0,2311500,14035025,A,75.65,0,67,57.05,0,0,7.166666667,2311500,4678341.667,0.342317683,0.056378049,0.170835043,0.064971919,0.194241274,0.098379138
3,27587920,27000000,24053465,0,0,31012184,A,0,1.49,11.28,12.37,0,0,9.583333333,0,10337394.67,1.148599407,0,0.100925926,0.09099742,0.986632787,0.917939901
2,2033685,3000000,2043509,0,296258,1983970,B,13.68,0,18.18,42.24,0,0,3.083333333,296258,991985,0.661323333,0.098752667,0.215249917,0.334555557,0.536992833,0.537842333
3,4989426,9000000,2724157,0,1335000,4668988,I,30,0,80.33,99.9,0,0,7.75,1335000,1556329.333,0.518776444,0.148333333,0.148443194,0.237037037,0.508276222,0.640398259
2,3040856,3000000,1007760,700000,998212,3043442,G,109.87,1.29,76.43,100.78,0,0,5.333333333,1698212,1521721,1.014480667,0.566070667,0.480021083,0.74000189,0.764344583,0.328945223
2,1347096,5000000,226518,0,0,0,G,100,0,59.19,27.77,0,0,6.25,0,0,0,0,0,0.218887466,0.5185234,0.651902466
3,10549114,39000000,4577088,0,4371200,0,A,100,0,100.02,99.24,0,0,13.16666667,4371200,0,0,0.112082051,0.215739538,0.220697718,0.251776173,0.215704726
2,9838483,9000000,9853124,0,0,9824034,A,0,7.38,21.06,37.44,0,0,6.083333333,0,4912017,1.091559333,0,0.168886333,0.195156963,1.051194389,1.144748111
6,5690132,5000000,5045055,0,0,5894521,E,90.1,13.98,65.91,73.46,0,0,13.66666667,0,982420.1667,1.1789042,0,0.55020525,0.645966666,1.06055955,0.944666534
2,5178561,6000000,4740303,0,527496,4923205,A,56.85,0,19.13,69.97,0,0,8.833333333,527496,2461602.5,0.820534167,0.087916,0.159629167,0.404242222,0.941473167,0.926429667
2,1992908,5000000,1939117,0,0,1847027,H,0,0,21.62,9.76,0,0,6.583333333,0,923513.5,0.3694054,0,0.1,0,0.29002885,0.0131986
2,2925674,4000000,2392610,0,307265,0,A,100,0,100,44.05,0,0,2,307265,0,0,0.07681625,0.26037875,0.142763583,0.535553625,0.1720785
2,1104160,7000000,880675,0,267249,0,A,100,0,99.72,100,0,0,3.5,267249,0,0,0.038178429,0.033959286,0.139658239,0.220094286,0.27717319
2,7979852,8000000,668058,0,6848745,7652253,F,100.27,0,77.5,100.1,0,0,2,6848745,3826126.5,0.956531625,0.856093125,0.830964563,1.780838834,0.818347688,2.334923166
2,2914252,3000000,2438990,0,60855,2960061,H,20,0,32.21,59.09,0,0,6.416666667,60855,1480030.5,0.986687,0.020285,0.141666667,0.288775,0.749642667,0.765317223
2,8837846,9000000,8337756,0,0,8455065,E,10.51,0,11.76,14.56,0,0,9.833333333,0,4227532.5,0.939451667,0,0.121978139,0.1,0.839365306,0.32434825900000003
2,14602257,15000000,9534487,0,4654956,12559437,H,65.48,0,84.52,100.01,0,0,4.083333333,4654956,6279718.5,0.8372958,0.3103304,0.27205,0.3974,0.4471812,0.133623978
2,19756060,18000000,19628371,0,0,19822317,A,0,6.87,7.5,14.19,0,0,13.41666667,0,9911158.5,1.101239833,0,0.092002569,0.176238018,0.6852775,0.731411759
2,82447,5000000,68000,0,0,71247,A,100,0,97.82,99.61,0,0,1.583333333,0,35623.5,0.0142494,0,0,0.6622468,0.1008681,0.599645734
2,3916816,5000000,1468958,0,0,3906290,B,49.26,0,25.07,9.71,0,0,4.166666667,0,1953145,0.781258,0,0.17177,0.0017376,0.61441925,0.463319066
4,9384116,57000000,8450471,0,789870,9513223,A,17.75,0,20.41,31.59,0,0,10.75,789870,2378305.75,0.166898649,0.013857368,0.018311412,0.031123895,0.215778193,0.302492199
5,20205339,25000000,15495245,0,2542175,21068402,D,37.25,0,75.96,78.87,0,0,8.75,2542175,4213680.4,0.84273608,0.101687,0.25323219,0.26733604,0.71428584,0.645479347
2,5507953,5000000,4804712,500000,0,5503853,A,0,9.68,58.75,24.3,0,0,2.333333333,500000,2751926.5,1.1007706,0.1,0.3464093,0.02,0.751766,0.576694334
2,49436461,48000000,24704149,0,100000,44146980,A,0,2.11,47.06,59.38,0,1,14.25,100000,22073490,0.91972875,0.002083333,0.072757396,0.078400194,0.933404682,0.814770736
3,5184680,6000000,5051350,0,0,0,H,101.16,0,100.09,100,0,0,15.25,0,0,0,0,0.800518542,1.066384778,0.520763708,0.432620888
4,23719,58000000,45155,0,0,21671,B,0,0,75,121.29,0,0,12,0,5417.75,3.73638e-4,0,0,0,0.004116078,0.046643575
4,40694972,36000000,37754972,0,89000,0,A,84.8,0,81.8,101.5,0,0,7.666666667,89000,0,0,0.002472222,0.856305556,1.095601852,1.017793938,1.012317972
2,9095266,10000000,2653726,0,663470,9040157,F,16.74,1.29,22.62,33.33,0,0,5.416666667,663470,4520078.5,0.9040157,0.066347,0.040337225,0.119433867,0.886463375,0.871697067
4,5113059,5000000,5113552,0,0,4549603,E,0,2.57,2.59,-75.4,2,0,15.33333333,0,1137400.75,0.9099206,0,0.281255,0.2804954,0.76093625,0.3098
2,23649,30000000,32909,0,0,57297,E,0,0,25,0,0,1,2,0,28648.5,0.0019099,0,0,0,0.003827008,0
6,40466328,51000000,41970110,0,1203059,40251125,A,32.58,0,10.48,7.43,0,0,8.75,1203059,6708520.833,0.789237745,0.023589392,0.077147966,0.073202621,0.814477436,0.833135765
3,13754728,78000000,4640666,0,0,3829500,A,0,0,75,100,0,0,8.75,0,1276500,0.049096154,0,0.042406506,0.017605671,0.094780147,0.028978214
2,3690227,5000000,3574722,0,0,3682624,A,18.35,0,22.2,80.7,0,1,3.416666667,0,1841312,0.7365248,0,0,0.218117334,0.78511315,0.801099866
2,3264378,9000000,3228560,0,0,3229179,A,0,0,9.23,12.96,0,1,10.58333333,0,1614589.5,0.358797667,0,0,0,0.385441611,0.456702556
3,16520956,16000000,6271439,0,68000,15893506,B,19.49,3.43,60.07,75.74,0,0,7.083333333,68000,5297835.333,0.993344125,0.00425,0.123665531,0.173573188,1.059739281,0.87692175000000006
3,1721164,28000000,399218,0,1590000,0,A,0,0,113.14,78.04,0,0,11.91666667,1590000,0,0,0.056785714,0.0434335,0.09283119,0.027723393,0.098076393
2,65628,80000000,97666,0,0,0,A,0,0,0,0,0,1,2.916666667,0,0,0,0,0,0,3.55409e-4,1.83292e-4
2,4725195,5000000,4145549,0,1533186,4704137,I,0,0,13.3,16.12,0,0,1.083333333,1533186,2352068.5,0.9408274,0.3066372,0.103095,0,0.7144117,0.987968534
4,1892993,7000000,1238351,0,1090760,62361,G,28.38,0,75,100.59,0,0,8,1090760,15590.25,0.008908714,0.155822857,0.087505893,0.050014286,0.154190357,0.06145119
3,44872441,71000000,29202987,0,321198,35989542,A,12.29,0,10.84,11.46,0,0,11.41666667,321198,11996514,0.506894958,0.004523915,0,0.011596244,1.096380644,1.15696561
2,1825244,4000000,1770165,0,0,1827110,A,19.35,0,9.84,9.69,0,0,2.333333333,0,913555,0.4567775,0,0,0,0.473858,0.56133425
2,5356229,5000000,5373285,0,20000,5366278,A,0,7.13,13.13,10.05,0,1,1.75,20000,2683139,1.0732556,0.004,0.0635125,0,1.0065374,0.996051066
2,7739394,7000000,9245608,0,20000,7413880,H,0,10.56,18.88,33.23,0,0,6.833333333,20000,3706940,1.059125714,0.002857143,0.126294929,0.136340476,1.253722536,1.204672429
5,102866548,84000000,20503689,0,11050908,103406965,I,200,16.56,97.93,0,0,0,10.66666667,11050908,20681393,1.2310352980000001,0.131558429,0.092989929,0.110134921,1.071990188,0.969328639
2,3914673,5000000,3595707,0,281998,3897136,B,22.61,0,29.91,51.67,0,0,1.75,281998,1948568,0.7794272,0.0563996,0.1794763,0.395866666,0.93021015,0.647406066
4,1799869,3000000,348968,0,0,1433336,A,100.65,0,100.2,100,0,0,5.583333333,0,358334,0.477778667,0,0,0,0.614348667,0.702431333
2,222457,87000000,143819,0,127001,263341,F,100.23,0,153.45,100,0,0,7.333333333,127001,131670.5,0.003026908,0.001459782,0.056081,0.113033034,0.067685945,0.269062506
3,16541731,25000000,6243298,0,3516000,0,G,200,0,175,100.34,0,0,8.416666667,3516000,0,0,0.14064,0.17777144,0.187706907,0.45736423,0.46068272
2,3074211,3000000,2976884,0,0,2859709,F,0,2.47,64.6,102.91,0,0,2.5,0,1429854.5,0.953236333,0,0.5015375,0.999558777,1.043788583,1.018093
5,86933052,89000000,91538961,0,0,90538961,A,33.49,0,17.23,13.71,0,0,14.91666667,0,18107792.2,1.017291697,0,0.168399129,0.049917255,0.730477065,0.706486992
2,2869091,3000000,2866000,0,0,2826313,A,11.82,0,32.84,10.22,0,0,0.833333333,0,1413156.5,0.942104333,0,0.126,0.06941111,0.901086417,0.810073443
2,5027089,5000000,833333,900000,538002,5835177,B,100,0,59.37,18.67,0,0,6.083333333,1438002,2917588.5,1.1670354,0.2876004,0.39234875,0.222133334,0.91578635,0.865097734
4,9626093,62000000,8450471,0,0,7785116,A,49.49,0,43.32,97.83,0,0,14.25,0,1946279,0.125566387,0,0.060764641,0.036084979,0.117429431,0.07068264
3,37829960,66000000,36423111,0,0,37459859,A,0,0,28.76,57.53,0,0,11.41666667,0,12486619.67,0.567573621,0,0.192430106,0.167968253,0.458302727,0.242064106
2,3163334,7000000,2161511,0,1352164,2550860,E,100.03,0,100.16,100.77,0,0,6.833333333,1352164,1275430,0.364408571,0.193166286,0.113321429,0.433597761,0.319663393,0.430823429
2,3293494,5000000,3289210,0,0,0,F,0,0,75,100,0,0,5.416666667,0,0,0,0,0.15,0.6016,0.48152305,0.593481066
2,6581913,22000000,2609238,0,3963100,0,A,100,0,100.43,100,0,0,6,3963100,0,0,0.180140909,0.075049136,0.019510985,0.126561955,0.069434227
2,4810069,20000000,1752566,0,3080001,5021821,A,104.21,0,100,106.43,0,0,5.583333333,3080001,2510910.5,0.25109105,0.15400005,0.255857675,0.219410817,0.399297275,0.362679584
2,2665809,4000000,103104,0,210900,2250003,A,542.49,0,165.23,45.9,0,0,6.166666667,210900,1125001.5,0.56250075,0.052725,0.082887313,0.4626845,0.5938155,0.646575668
4,6466172,43000000,3459363,0,671000,0,C,100,0,75,100,0,0,13.33333333,671000,0,0,0.015604651,0.039518023,0.116953333,0.145236279,0.058240008
3,10385867,45000000,4505175,0,2152839,0,A,100,0,100,100,0,0,26.33333333,2152839,0,0,0.047840867,0.16886915,0.085753126,0.237811611,0.321344911
2,449167,38000000,182329,0,378934,0,A,0,0,50,39.29,0,0,7.166666667,378934,0,0,0.009971947,0.003508507,0.004473684,0.004254289,0.004096395
2,2555490,3000000,987358,0,9937,0,E,100,0,1125.81,-53.96,0,0,6.833333333,9937,0,0,0.003312333,0.083087667,0.335555557,0.543488583,0.523159
3,13765291,35000000,12041352,0,0,10790302,B,18.32,0,10.56,6.96,0,0,13.5,0,3596767.333,0.308294343,0,0.0044241,0.035463219,0.432066171,0.252620943
2,14599203,20000000,13201701,0,1233539,13873200,A,10,0,75,100.03,0,0,1.916666667,1233539,6936600,0.69366,0.06167695,0.248054025,0.085883334,0.493922575,0.422967067
2,6029687,9000000,1248498,0,0,0,A,100.16,0,60.53,50,0,0,8.833333333,0,0,0,0,0.23031,0.068885186,0.705381833,0.118509259
2,3766364,4000000,1582695,0,459428,2030088,A,100,0,100.9,100,0,0,1,459428,1015044,0.507522,0.114857,0.305426,0.273155168,0.692359563,0.407569668
2,3780272,10000000,321422,0,3341480,3629940,A,100,0,33.33,66.67,0,0,4.333333333,3341480,1814970,0.362994,0.334148,0.146334625,0.135870233,0.212202975,0.2541116
